"Yeast7";"Freq"
"1";"";774
"2";"ispi_0";1
"3";"ispi_100";2
"4";"ispi_1000";2
"5";"ispi_1001";1
"6";"ispi_1002";1
"7";"ispi_1003";2
"8";"ispi_1006";1
"9";"ispi_1009";1
"10";"ispi_101";1
"11";"ispi_1012";2
"12";"ispi_1017";1
"13";"ispi_1018";3
"14";"ispi_102";1
"15";"ispi_1020";1
"16";"ispi_1021";2
"17";"ispi_1022";1
"18";"ispi_1023";4
"19";"ispi_1024";1
"20";"ispi_1026";1
"21";"ispi_1031";1
"22";"ispi_1033";1
"23";"ispi_1036";8
"24";"ispi_104";1
"25";"ispi_1040";3
"26";"ispi_1041";1
"27";"ispi_1043";1
"28";"ispi_1044";1
"29";"ispi_1045";6
"30";"ispi_1048";8
"31";"ispi_1049";2
"32";"ispi_1052";5
"33";"ispi_1053";2
"34";"ispi_1054";1
"35";"ispi_1055";2
"36";"ispi_1057";1
"37";"ispi_1058";2
"38";"ispi_1059";2
"39";"ispi_1061";1
"40";"ispi_1063";1
"41";"ispi_1065";1
"42";"ispi_1066";1
"43";"ispi_1067";1
"44";"ispi_1068";1
"45";"ispi_107";2
"46";"ispi_1070";1
"47";"ispi_1079";1
"48";"ispi_108";2
"49";"ispi_1083";1
"50";"ispi_1084";4
"51";"ispi_1085";3
"52";"ispi_1087";3
"53";"ispi_1088";1
"54";"ispi_1089";1
"55";"ispi_1097";1
"56";"ispi_11";1
"57";"ispi_110";1
"58";"ispi_1100";1
"59";"ispi_1106";1
"60";"ispi_1109";5
"61";"ispi_111";2
"62";"ispi_1112";1
"63";"ispi_1114";1
"64";"ispi_1119";2
"65";"ispi_112";7
"66";"ispi_1121";1
"67";"ispi_1124";1
"68";"ispi_1125";3
"69";"ispi_1127";2
"70";"ispi_1128";3
"71";"ispi_1129";1
"72";"ispi_113";3
"73";"ispi_1130";1
"74";"ispi_1133";1
"75";"ispi_1137";2
"76";"ispi_1138";2
"77";"ispi_1145";1
"78";"ispi_1146";4
"79";"ispi_1149";2
"80";"ispi_1155";1
"81";"ispi_1156";1
"82";"ispi_1157";2
"83";"ispi_116";1
"84";"ispi_1160";4
"85";"ispi_1161";2
"86";"ispi_1162";2
"87";"ispi_1165";3
"88";"ispi_1166";1
"89";"ispi_1174";1
"90";"ispi_1179";1
"91";"ispi_118";1
"92";"ispi_1180";1
"93";"ispi_1181";1
"94";"ispi_1184";2
"95";"ispi_119";1
"96";"ispi_1195";1
"97";"ispi_1196";2
"98";"ispi_1199";1
"99";"ispi_1208";1
"100";"ispi_1209";2
"101";"ispi_121";2
"102";"ispi_1210";2
"103";"ispi_1214";4
"104";"ispi_1215";2
"105";"ispi_1229";1
"106";"ispi_123";2
"107";"ispi_1237";1
"108";"ispi_124";2
"109";"ispi_1241";1
"110";"ispi_1246";1
"111";"ispi_1248";1
"112";"ispi_1249";1
"113";"ispi_1250";3
"114";"ispi_1253";1
"115";"ispi_1258";4
"116";"ispi_126";3
"117";"ispi_1260";1
"118";"ispi_1261";1
"119";"ispi_1262";2
"120";"ispi_1263";1
"121";"ispi_1265";2
"122";"ispi_1266";1
"123";"ispi_1267";2
"124";"ispi_1268";2
"125";"ispi_1269";1
"126";"ispi_127";2
"127";"ispi_1270";1
"128";"ispi_1271";2
"129";"ispi_1273";1
"130";"ispi_1277";2
"131";"ispi_1280";1
"132";"ispi_1287";5
"133";"ispi_1289";3
"134";"ispi_1290";2
"135";"ispi_1291";1
"136";"ispi_1292";1
"137";"ispi_1293";1
"138";"ispi_1296";1
"139";"ispi_1298";1
"140";"ispi_1299";1
"141";"ispi_13";1
"142";"ispi_130";2
"143";"ispi_1303";1
"144";"ispi_1305";1
"145";"ispi_1306";2
"146";"ispi_1308";2
"147";"ispi_1310";2
"148";"ispi_1311";1
"149";"ispi_1315";2
"150";"ispi_1318";2
"151";"ispi_1319";1
"152";"ispi_132";1
"153";"ispi_1328";1
"154";"ispi_1330";1
"155";"ispi_1332";1
"156";"ispi_1334";3
"157";"ispi_1335";3
"158";"ispi_1338";1
"159";"ispi_134";3
"160";"ispi_1343";2
"161";"ispi_135";2
"162";"ispi_1350";2
"163";"ispi_1352";1
"164";"ispi_1353";3
"165";"ispi_1354";1
"166";"ispi_1357";2
"167";"ispi_1358";2
"168";"ispi_136";2
"169";"ispi_1360";2
"170";"ispi_1361";1
"171";"ispi_1363";2
"172";"ispi_1367";1
"173";"ispi_137";1
"174";"ispi_1372";2
"175";"ispi_1375";2
"176";"ispi_1376";2
"177";"ispi_1378";2
"178";"ispi_1379";3
"179";"ispi_1384";2
"180";"ispi_1385";1
"181";"ispi_1386";4
"182";"ispi_1391";2
"183";"ispi_1395";3
"184";"ispi_1397";2
"185";"ispi_140";4
"186";"ispi_1400";2
"187";"ispi_1401";1
"188";"ispi_1407";3
"189";"ispi_1408";1
"190";"ispi_141";1
"191";"ispi_1411";1
"192";"ispi_1412";1
"193";"ispi_1414";5
"194";"ispi_1416";2
"195";"ispi_1417";1
"196";"ispi_142";1
"197";"ispi_1420";2
"198";"ispi_1423";2
"199";"ispi_1424";1
"200";"ispi_1426";1
"201";"ispi_1428";1
"202";"ispi_1429";3
"203";"ispi_143";1
"204";"ispi_1430";2
"205";"ispi_1432";1
"206";"ispi_1440";1
"207";"ispi_1444";1
"208";"ispi_1446";2
"209";"ispi_145";1
"210";"ispi_1455";1
"211";"ispi_1456";2
"212";"ispi_1458";2
"213";"ispi_1459";3
"214";"ispi_146";1
"215";"ispi_1460";2
"216";"ispi_1461";1
"217";"ispi_1463";4
"218";"ispi_1465";1
"219";"ispi_1468";3
"220";"ispi_1469";3
"221";"ispi_1479";2
"222";"ispi_148";1
"223";"ispi_1481";2
"224";"ispi_1485";2
"225";"ispi_1492";1
"226";"ispi_1493";1
"227";"ispi_1494";1
"228";"ispi_1495";2
"229";"ispi_1496";1
"230";"ispi_1497";1
"231";"ispi_1499";1
"232";"ispi_15";1
"233";"ispi_150";1
"234";"ispi_1500";3
"235";"ispi_1501";1
"236";"ispi_1503";1
"237";"ispi_1504";3
"238";"ispi_1505";1
"239";"ispi_1507";4
"240";"ispi_1508";1
"241";"ispi_1511";1
"242";"ispi_1512";2
"243";"ispi_1516";3
"244";"ispi_1517";4
"245";"ispi_1519";1
"246";"ispi_152";1
"247";"ispi_1522";1
"248";"ispi_1523";1
"249";"ispi_1525";4
"250";"ispi_1527";1
"251";"ispi_1529";3
"252";"ispi_1530";1
"253";"ispi_1533";1
"254";"ispi_1534";1
"255";"ispi_1537";1
"256";"ispi_1540";1
"257";"ispi_1542";1
"258";"ispi_1543";2
"259";"ispi_1544";1
"260";"ispi_1545";2
"261";"ispi_1546";4
"262";"ispi_1549";2
"263";"ispi_155";1
"264";"ispi_1550";2
"265";"ispi_1551";2
"266";"ispi_1552";2
"267";"ispi_1553";6
"268";"ispi_1555";1
"269";"ispi_1558";3
"270";"ispi_1559";2
"271";"ispi_156";1
"272";"ispi_1560";1
"273";"ispi_157";1
"274";"ispi_158";2
"275";"ispi_159";1
"276";"ispi_160";3
"277";"ispi_161";2
"278";"ispi_162";2
"279";"ispi_164";1
"280";"ispi_168";2
"281";"ispi_169";3
"282";"ispi_172";2
"283";"ispi_174";1
"284";"ispi_177";1
"285";"ispi_178";1
"286";"ispi_179";1
"287";"ispi_18";1
"288";"ispi_180";1
"289";"ispi_182";2
"290";"ispi_183";2
"291";"ispi_19";2
"292";"ispi_197";1
"293";"ispi_20";1
"294";"ispi_205";2
"295";"ispi_206";1
"296";"ispi_207";2
"297";"ispi_21";2
"298";"ispi_210";2
"299";"ispi_219";2
"300";"ispi_22";2
"301";"ispi_223";2
