"Yeast1";"Freq"
"249";"ispi_1500";4
"250";"ispi_1501";1
"251";"ispi_1503";1
"252";"ispi_1504";4
"253";"ispi_1505";1
"254";"ispi_1507";4
"255";"ispi_1508";1
"256";"ispi_151";1
"257";"ispi_1510";3
"258";"ispi_1511";1
"259";"ispi_1512";3
"260";"ispi_1515";3
"261";"ispi_1516";4
"262";"ispi_1519";1
"263";"ispi_152";1
"264";"ispi_1520";3
"265";"ispi_1521";3
"266";"ispi_1522";1
"267";"ispi_1523";2
"268";"ispi_1524";2
"269";"ispi_1525";3
"270";"ispi_1527";1
"271";"ispi_1529";6
"272";"ispi_1530";1
"273";"ispi_1531";3
"274";"ispi_1533";1
"275";"ispi_1534";1
"276";"ispi_1535";1
"277";"ispi_1536";1
"278";"ispi_1537";1
"279";"ispi_1538";2
"280";"ispi_154";3
"281";"ispi_1540";2
"282";"ispi_1542";2
"283";"ispi_1543";1
"284";"ispi_1544";1
"285";"ispi_1545";4
"286";"ispi_1546";5
"287";"ispi_1549";3
"288";"ispi_155";1
"289";"ispi_1550";1
"290";"ispi_1554";3
"291";"ispi_1555";1
"292";"ispi_1556";1
"293";"ispi_1559";3
"294";"ispi_156";1
"295";"ispi_1560";1
"296";"ispi_1561";3
"297";"ispi_158";3
"298";"ispi_159";1
"299";"ispi_160";4
"300";"ispi_161";3
"301";"ispi_162";3
"302";"ispi_164";1
"303";"ispi_165";1
"304";"ispi_166";1
"305";"ispi_167";1
"306";"ispi_168";3
"307";"ispi_169";4
"308";"ispi_173";1
"309";"ispi_174";1
"310";"ispi_178";1
"311";"ispi_179";1
"312";"ispi_18";1
"313";"ispi_180";1
"314";"ispi_182";2
"315";"ispi_183";2
"316";"ispi_19";2
"317";"ispi_197";1
"318";"ispi_20";1
"319";"ispi_205";2
"320";"ispi_206";1
"321";"ispi_207";2
"322";"ispi_208";3
"323";"ispi_21";2
"324";"ispi_210";2
"325";"ispi_213";4
"326";"ispi_214";1
"327";"ispi_219";3
"328";"ispi_22";2
"329";"ispi_223";2
"330";"ispi_224";6
"331";"ispi_23";1
"332";"ispi_230";1
"333";"ispi_232";5
"334";"ispi_236";1
"335";"ispi_24";5
"336";"ispi_240";5
"337";"ispi_244";1
"338";"ispi_249";2
"339";"ispi_25";1
"340";"ispi_254";1
"341";"ispi_256";2
"342";"ispi_258";1
"343";"ispi_259";4
"344";"ispi_26";2
"345";"ispi_261";2
"346";"ispi_262";2
"347";"ispi_265";1
"348";"ispi_268";1
"349";"ispi_27";2
"350";"ispi_277";1
"351";"ispi_291";1
"352";"ispi_293";1
"353";"ispi_296";1
"354";"ispi_297";4
"355";"ispi_299";4
"356";"ispi_3";1
"357";"ispi_309";2
"358";"ispi_312";1
"359";"ispi_316";2
"360";"ispi_32";6
"361";"ispi_324";3
"362";"ispi_327";4
"363";"ispi_33";4
"364";"ispi_330";1
"365";"ispi_342";2
"366";"ispi_346";6
"367";"ispi_347";1
"368";"ispi_349";4
"369";"ispi_350";3
"370";"ispi_352";3
"371";"ispi_353";3
"372";"ispi_354";2
"373";"ispi_357";4
"374";"ispi_358";4
"375";"ispi_359";1
"376";"ispi_36";2
"377";"ispi_361";1
"378";"ispi_364";8
"379";"ispi_365";1
"380";"ispi_366";2
"381";"ispi_368";1
"382";"ispi_370";2
"383";"ispi_372";1
"384";"ispi_373";1
"385";"ispi_376";1
"386";"ispi_377";1
"387";"ispi_378";1
"388";"ispi_38";4
"389";"ispi_380";2
"390";"ispi_381";1
"391";"ispi_383";5
"392";"ispi_384";3
"393";"ispi_391";4
"394";"ispi_393";3
"395";"ispi_396";3
"396";"ispi_397";2
"397";"ispi_398";2
"398";"ispi_4";3
"399";"ispi_40";4
"400";"ispi_400";1
"401";"ispi_403";2
"402";"ispi_405";4
"403";"ispi_406";1
"404";"ispi_407";1
"405";"ispi_408";2
"406";"ispi_409";1
"407";"ispi_410";1
"408";"ispi_411";8
"409";"ispi_412";2
"410";"ispi_413";5
"411";"ispi_414";5
"412";"ispi_415";3
"413";"ispi_416";2
"414";"ispi_417";1
"415";"ispi_418";3
"416";"ispi_419";1
"417";"ispi_420";1
"418";"ispi_422";2
"419";"ispi_423";2
"420";"ispi_424";1
"421";"ispi_426";2
"422";"ispi_427";3
"423";"ispi_434";1
"424";"ispi_436";2
"425";"ispi_437";1
"426";"ispi_439";1
"427";"ispi_44";5
"428";"ispi_440";2
"429";"ispi_441";3
"430";"ispi_46";1
"431";"ispi_463";2
"432";"ispi_469";1
"433";"ispi_47";3
"434";"ispi_470";1
"435";"ispi_471";1
"436";"ispi_472";3
"437";"ispi_474";1
"438";"ispi_476";6
"439";"ispi_477";3
"440";"ispi_482";1
"441";"ispi_484";1
"442";"ispi_488";3
"443";"ispi_49";2
"444";"ispi_490";2
"445";"ispi_496";3
"446";"ispi_505";1
"447";"ispi_506";2
"448";"ispi_507";3
"449";"ispi_512";3
"450";"ispi_515";2
"451";"ispi_519";2
"452";"ispi_52";1
"453";"ispi_522";3
"454";"ispi_524";1
"455";"ispi_529";3
"456";"ispi_531";7
"457";"ispi_532";1
"458";"ispi_533";1
"459";"ispi_534";1
"460";"ispi_535";1
"461";"ispi_536";1
"462";"ispi_538";1
"463";"ispi_540";4
"464";"ispi_541";7
"465";"ispi_543";1
"466";"ispi_545";2
"467";"ispi_546";4
"468";"ispi_547";1
"469";"ispi_549";2
"470";"ispi_552";1
"471";"ispi_555";4
"472";"ispi_56";2
"473";"ispi_560";1
"474";"ispi_565";4
"475";"ispi_569";1
"476";"ispi_57";1
"477";"ispi_574";1
"478";"ispi_578";1
"479";"ispi_579";1
"480";"ispi_584";2
"481";"ispi_585";3
"482";"ispi_588";2
"483";"ispi_589";5
"484";"ispi_594";1
"485";"ispi_596";1
"486";"ispi_598";1
"487";"ispi_600";7
"488";"ispi_601";1
"489";"ispi_602";2
"490";"ispi_603";2
"491";"ispi_604";1
"492";"ispi_605";1
"493";"ispi_606";1
"494";"ispi_609";2
"495";"ispi_610";1
"496";"ispi_616";1
"497";"ispi_618";2
"498";"ispi_620";1
"499";"ispi_63";1
"500";"ispi_630";3
"501";"ispi_631";1
"502";"ispi_632";6
"503";"ispi_635";1
"504";"ispi_64";3
"505";"ispi_640";1
"506";"ispi_642";3
"507";"ispi_649";1
"508";"ispi_652";1
"509";"ispi_653";2
"510";"ispi_654";1
"511";"ispi_656";1
"512";"ispi_658";1
"513";"ispi_659";2
"514";"ispi_66";2
"515";"ispi_660";1
"516";"ispi_661";4
"517";"ispi_662";2
"518";"ispi_665";1
"519";"ispi_666";4
"520";"ispi_667";1
"521";"ispi_670";1
"522";"ispi_671";15
"523";"ispi_673";1
"524";"ispi_675";2
"525";"ispi_676";2
"526";"ispi_678";5
"527";"ispi_68";2
"528";"ispi_681";3
"529";"ispi_682";1
"530";"ispi_683";1
"531";"ispi_684";1
"532";"ispi_685";6
"533";"ispi_689";2
"534";"ispi_691";1
"535";"ispi_692";3
"536";"ispi_693";1
