"iTO977";"Freq"
"249";"ispi_1468";3
"250";"ispi_1469";3
"251";"ispi_1473";2
"252";"ispi_1477";2
"253";"ispi_1479";2
"254";"ispi_148";1
"255";"ispi_1481";2
"256";"ispi_1485";1
"257";"ispi_1487";3
"258";"ispi_1488";2
"259";"ispi_1489";2
"260";"ispi_1490";2
"261";"ispi_1492";1
"262";"ispi_1493";1
"263";"ispi_1494";1
"264";"ispi_1495";1
"265";"ispi_1499";1
"266";"ispi_15";1
"267";"ispi_150";1
"268";"ispi_1500";3
"269";"ispi_1502";2
"270";"ispi_1503";1
"271";"ispi_1504";1
"272";"ispi_1505";1
"273";"ispi_1507";2
"274";"ispi_1508";1
"275";"ispi_1511";1
"276";"ispi_1512";2
"277";"ispi_1515";2
"278";"ispi_1516";2
"279";"ispi_1517";4
"280";"ispi_1519";1
"281";"ispi_152";1
"282";"ispi_1522";1
"283";"ispi_1525";4
"284";"ispi_1526";2
"285";"ispi_1527";1
"286";"ispi_153";2
"287";"ispi_1530";1
"288";"ispi_1533";1
"289";"ispi_1534";1
"290";"ispi_1535";1
"291";"ispi_1537";1
"292";"ispi_1540";1
"293";"ispi_1542";1
"294";"ispi_1543";1
"295";"ispi_1545";3
"296";"ispi_1546";2
"297";"ispi_1549";2
"298";"ispi_155";1
"299";"ispi_1550";2
"300";"ispi_1552";2
"301";"ispi_1553";2
"302";"ispi_1555";1
"303";"ispi_1557";2
"304";"ispi_1558";2
"305";"ispi_1559";1
"306";"ispi_156";1
"307";"ispi_1560";1
"308";"ispi_157";1
"309";"ispi_158";2
"310";"ispi_159";1
"311";"ispi_160";3
"312";"ispi_161";2
"313";"ispi_162";2
"314";"ispi_164";1
"315";"ispi_166";1
"316";"ispi_168";2
"317";"ispi_169";2
"318";"ispi_171";2
"319";"ispi_172";2
"320";"ispi_174";1
"321";"ispi_178";1
"322";"ispi_179";1
"323";"ispi_18";1
"324";"ispi_180";1
"325";"ispi_182";2
"326";"ispi_183";2
"327";"ispi_19";2
"328";"ispi_194";2
"329";"ispi_197";1
"330";"ispi_20";1
"331";"ispi_205";2
"332";"ispi_206";1
"333";"ispi_207";3
"334";"ispi_21";1
"335";"ispi_210";2
"336";"ispi_219";3
"337";"ispi_22";2
"338";"ispi_223";2
"339";"ispi_224";4
"340";"ispi_23";1
"341";"ispi_230";1
"342";"ispi_232";3
"343";"ispi_24";2
"344";"ispi_240";4
"345";"ispi_243";2
"346";"ispi_249";1
"347";"ispi_25";1
"348";"ispi_254";1
"349";"ispi_256";1
"350";"ispi_258";1
"351";"ispi_259";2
"352";"ispi_26";3
"353";"ispi_260";1
"354";"ispi_261";2
"355";"ispi_262";2
"356";"ispi_265";1
"357";"ispi_27";1
"358";"ispi_277";1
"359";"ispi_289";1
"360";"ispi_291";1
"361";"ispi_293";1
"362";"ispi_294";1
"363";"ispi_296";1
"364";"ispi_297";2
"365";"ispi_299";3
"366";"ispi_3";1
"367";"ispi_31";2
"368";"ispi_311";1
"369";"ispi_317";1
"370";"ispi_32";3
"371";"ispi_324";2
"372";"ispi_327";2
"373";"ispi_328";2
"374";"ispi_33";3
"375";"ispi_330";1
"376";"ispi_340";1
"377";"ispi_342";1
"378";"ispi_343";1
"379";"ispi_345";1
"380";"ispi_346";2
"381";"ispi_347";1
"382";"ispi_348";2
"383";"ispi_350";2
"384";"ispi_351";2
"385";"ispi_352";2
"386";"ispi_354";1
"387";"ispi_357";3
"388";"ispi_359";1
"389";"ispi_361";1
"390";"ispi_363";1
"391";"ispi_365";1
"392";"ispi_366";1
"393";"ispi_367";2
"394";"ispi_368";1
"395";"ispi_372";1
"396";"ispi_374";2
"397";"ispi_377";1
"398";"ispi_378";1
"399";"ispi_379";2
"400";"ispi_38";3
"401";"ispi_380";1
"402";"ispi_381";2
"403";"ispi_383";3
"404";"ispi_384";2
"405";"ispi_391";2
"406";"ispi_394";2
"407";"ispi_397";3
"408";"ispi_4";2
"409";"ispi_40";3
"410";"ispi_400";1
"411";"ispi_401";2
"412";"ispi_402";2
"413";"ispi_405";2
"414";"ispi_406";1
"415";"ispi_409";1
"416";"ispi_411";3
"417";"ispi_412";1
"418";"ispi_414";2
"419";"ispi_415";2
"420";"ispi_416";1
"421";"ispi_417";1
"422";"ispi_418";2
"423";"ispi_420";1
"424";"ispi_421";2
"425";"ispi_423";2
"426";"ispi_425";2
"427";"ispi_429";1
"428";"ispi_431";1
"429";"ispi_434";1
"430";"ispi_437";1
"431";"ispi_439";1
"432";"ispi_44";6
"433";"ispi_440";2
"434";"ispi_449";1
"435";"ispi_45";2
"436";"ispi_46";1
"437";"ispi_463";1
"438";"ispi_469";1
"439";"ispi_470";1
"440";"ispi_476";4
"441";"ispi_482";1
"442";"ispi_484";2
"443";"ispi_49";1
"444";"ispi_490";2
"445";"ispi_501";1
"446";"ispi_505";2
"447";"ispi_506";2
"448";"ispi_512";1
"449";"ispi_515";2
"450";"ispi_517";2
"451";"ispi_519";2
"452";"ispi_52";1
"453";"ispi_523";2
"454";"ispi_524";1
"455";"ispi_531";4
"456";"ispi_533";1
"457";"ispi_534";1
"458";"ispi_535";1
"459";"ispi_536";1
"460";"ispi_538";1
"461";"ispi_539";1
"462";"ispi_540";3
"463";"ispi_541";2
"464";"ispi_542";2
"465";"ispi_543";1
"466";"ispi_544";1
"467";"ispi_545";1
"468";"ispi_546";3
"469";"ispi_547";1
"470";"ispi_549";2
"471";"ispi_552";1
"472";"ispi_555";2
"473";"ispi_558";3
"474";"ispi_56";2
"475";"ispi_560";2
"476";"ispi_565";2
"477";"ispi_566";1
"478";"ispi_569";1
"479";"ispi_573";1
"480";"ispi_574";1
"481";"ispi_578";1
"482";"ispi_579";1
"483";"ispi_584";1
"484";"ispi_588";1
"485";"ispi_589";2
"486";"ispi_59";2
"487";"ispi_594";1
"488";"ispi_596";1
"489";"ispi_598";1
"490";"ispi_6";2
"491";"ispi_60";2
"492";"ispi_600";6
"493";"ispi_605";1
"494";"ispi_606";1
"495";"ispi_609";1
"496";"ispi_610";2
"497";"ispi_615";2
"498";"ispi_616";2
"499";"ispi_618";2
"500";"ispi_619";2
"501";"ispi_620";1
"502";"ispi_629";3
"503";"ispi_63";1
"504";"ispi_630";2
"505";"ispi_631";1
"506";"ispi_632";2
"507";"ispi_634";1
"508";"ispi_635";1
"509";"ispi_640";1
"510";"ispi_642";2
"511";"ispi_643";2
"512";"ispi_645";1
"513";"ispi_649";1
"514";"ispi_650";1
"515";"ispi_651";1
"516";"ispi_652";1
"517";"ispi_653";2
"518";"ispi_654";1
"519";"ispi_655";1
"520";"ispi_656";1
"521";"ispi_659";1
"522";"ispi_66";2
"523";"ispi_661";2
"524";"ispi_662";2
"525";"ispi_665";1
"526";"ispi_666";3
"527";"ispi_667";2
"528";"ispi_668";1
"529";"ispi_670";1
"530";"ispi_671";3
"531";"ispi_673";1
"532";"ispi_675";2
"533";"ispi_677";2
"534";"ispi_678";4
"535";"ispi_679";1
"536";"ispi_68";2
"537";"ispi_680";1
"538";"ispi_681";1
"539";"ispi_682";1
"540";"ispi_683";1
"541";"ispi_685";3
"542";"ispi_688";1
"543";"ispi_689";1
"544";"ispi_69";1
"545";"ispi_691";1
"546";"ispi_692";1
"547";"ispi_693";1
"548";"ispi_694";2
"549";"ispi_698";1
"550";"ispi_7";1
"551";"ispi_708";1
"552";"ispi_71";1
"553";"ispi_710";1
"554";"ispi_712";1
"555";"ispi_713";1
"556";"ispi_718";1
"557";"ispi_72";1
"558";"ispi_720";1
"559";"ispi_724";1
"560";"ispi_725";1
"561";"ispi_726";1
"562";"ispi_727";2
"563";"ispi_729";1
"564";"ispi_73";1
"565";"ispi_731";1
"566";"ispi_733";1
"567";"ispi_735";1
"568";"ispi_736";3
"569";"ispi_737";1
"570";"ispi_739";1
"571";"ispi_740";1
"572";"ispi_741";1
"573";"ispi_743";2
"574";"ispi_745";1
"575";"ispi_746";3
"576";"ispi_747";3
"577";"ispi_748";2
"578";"ispi_75";2
"579";"ispi_750";1
"580";"ispi_751";1
"581";"ispi_752";1
"582";"ispi_754";2
"583";"ispi_755";1
"584";"ispi_756";2
"585";"ispi_757";3
"586";"ispi_758";2
"587";"ispi_759";1
"588";"ispi_761";2
"589";"ispi_762";1
"590";"ispi_763";1
"591";"ispi_764";2
"592";"ispi_765";2
"593";"ispi_766";1
