"iAZ900";"Freq"
"1";"";530
"2";"ispi_0";1
"3";"ispi_10";4
"4";"ispi_100";3
"5";"ispi_1000";2
"6";"ispi_1001";1
"7";"ispi_1002";1
"8";"ispi_1006";1
"9";"ispi_101";1
"10";"ispi_1012";2
"11";"ispi_1014";1
"12";"ispi_1018";4
"13";"ispi_102";1
"14";"ispi_1021";2
"15";"ispi_1022";1
"16";"ispi_1023";5
"17";"ispi_1024";1
"18";"ispi_1026";1
"19";"ispi_1036";9
"20";"ispi_104";1
"21";"ispi_1040";4
"22";"ispi_1041";1
"23";"ispi_1043";1
"24";"ispi_1044";1
"25";"ispi_1045";6
"26";"ispi_1046";1
"27";"ispi_1048";9
"28";"ispi_1049";2
"29";"ispi_105";1
"30";"ispi_1052";6
"31";"ispi_1053";2
"32";"ispi_1055";2
"33";"ispi_1057";1
"34";"ispi_1058";3
"35";"ispi_1059";2
"36";"ispi_1061";1
"37";"ispi_1064";1
"38";"ispi_1065";1
"39";"ispi_1066";1
"40";"ispi_1067";1
"41";"ispi_1068";3
"42";"ispi_107";2
"43";"ispi_1070";1
"44";"ispi_108";3
"45";"ispi_1083";1
"46";"ispi_1084";4
"47";"ispi_1085";4
"48";"ispi_1087";4
"49";"ispi_1088";1
"50";"ispi_1089";1
"51";"ispi_109";1
"52";"ispi_1091";3
"53";"ispi_1099";2
"54";"ispi_110";1
"55";"ispi_1100";1
"56";"ispi_1109";5
"57";"ispi_111";3
"58";"ispi_1112";1
"59";"ispi_1116";2
"60";"ispi_1118";2
"61";"ispi_1119";3
"62";"ispi_112";8
"63";"ispi_1120";2
"64";"ispi_1124";1
"65";"ispi_1125";4
"66";"ispi_1127";3
"67";"ispi_1128";4
"68";"ispi_1129";1
"69";"ispi_113";4
"70";"ispi_1138";3
"71";"ispi_114";3
"72";"ispi_1140";1
"73";"ispi_1144";1
"74";"ispi_1145";1
"75";"ispi_1146";5
"76";"ispi_1150";1
"77";"ispi_1156";2
"78";"ispi_1157";3
"79";"ispi_1160";4
"80";"ispi_1161";2
"81";"ispi_1165";3
"82";"ispi_1166";1
"83";"ispi_1170";3
"84";"ispi_1171";1
"85";"ispi_1174";1
"86";"ispi_1175";1
"87";"ispi_1177";1
"88";"ispi_1179";1
"89";"ispi_118";1
"90";"ispi_1180";1
"91";"ispi_1181";1
"92";"ispi_1184";3
"93";"ispi_1186";3
"94";"ispi_119";1
"95";"ispi_1195";1
"96";"ispi_1196";2
"97";"ispi_1199";1
"98";"ispi_120";1
"99";"ispi_1206";1
"100";"ispi_1208";1
"101";"ispi_1209";3
"102";"ispi_121";2
"103";"ispi_1210";2
"104";"ispi_1214";5
"105";"ispi_1215";2
"106";"ispi_122";4
"107";"ispi_1229";1
"108";"ispi_123";3
"109";"ispi_1232";1
"110";"ispi_1237";1
"111";"ispi_124";3
"112";"ispi_1241";1
"113";"ispi_1246";1
