Reaction;iAZ900;iFF708;iLL672;iMM904;iND750;iTO977;Yeast1;Yeast6;Yeast7
imrxn_1996;1;0;0;0;0;0;0;1;1
imrxn_1997;1;1;0;1;1;1;0;0;0
imrxn_1998;0;0;1;0;0;0;0;0;0
imrxn_1999;1;0;0;0;0;0;0;1;1
imrxn_2001;1;1;1;1;1;1;1;1;1
imrxn_2002;1;0;0;0;0;0;0;1;1
imrxn_2003;0;0;0;0;0;0;0;1;1
imrxn_2004;1;1;1;1;1;0;1;1;1
imrxn_2005;0;0;1;0;0;0;0;0;0
imrxn_2006;1;0;0;1;0;0;0;0;0
imrxn_2007;1;0;0;1;1;0;1;1;1
imrxn_2008;0;0;0;1;0;0;0;0;0
imrxn_2009;0;0;0;1;1;0;0;0;0
imrxn_2010;0;0;0;1;1;0;1;1;1
imrxn_2011;1;1;0;0;0;0;0;0;0
imrxn_2012;0;0;0;0;0;1;0;0;0
imrxn_2013;1;0;0;1;1;0;1;1;1
imrxn_2014;1;1;1;1;1;1;1;1;1
imrxn_2015;0;0;0;0;0;0;1;1;1
imrxn_2016;1;0;0;0;0;0;0;1;0
imrxn_2017;0;1;1;1;1;1;1;1;1
imrxn_2018;0;1;1;0;1;1;1;1;1
imrxn_2019;1;0;0;1;1;0;0;0;0
imrxn_2020;1;0;1;0;0;0;0;0;0
imrxn_2021;1;0;0;1;1;0;0;0;0
imrxn_2022;0;0;0;1;1;1;1;1;1
imrxn_2023;1;0;1;0;0;0;0;0;0
imrxn_2024;0;0;0;1;1;0;1;1;1
imrxn_2025;1;1;1;1;1;1;1;1;1
imrxn_2026;1;1;0;0;0;1;0;0;0
imrxn_2027;0;0;0;1;1;0;0;0;0
imrxn_2028;0;0;1;0;0;0;0;0;0
imrxn_2029;0;1;1;0;0;1;0;0;0
imrxn_2030;0;1;0;1;1;1;1;1;1
imrxn_2031;1;0;1;0;0;0;0;0;0
imrxn_2032;1;0;0;0;0;0;1;1;0
imrxn_2033;0;1;1;1;1;0;1;1;1
imrxn_2034;1;0;0;1;1;0;1;1;1
imrxn_2035;1;0;0;1;1;0;1;1;1
imrxn_2036;1;1;0;0;0;1;0;0;0
imrxn_2037;1;1;0;0;1;1;0;0;0
imrxn_2038;1;1;1;1;1;1;1;1;1
imrxn_2039;1;0;0;1;1;0;0;0;0
imrxn_2040;0;0;0;0;0;1;0;0;0
imrxn_2041;0;1;1;1;1;1;1;1;1
imrxn_2042;1;1;1;1;1;1;1;1;1
imrxn_2043;1;0;0;1;1;0;1;1;1
imrxn_2044;1;0;0;1;1;0;1;1;1
imrxn_2045;1;0;0;0;0;0;0;1;0
imrxn_2046;1;0;0;1;1;0;1;1;1
imrxn_2047;0;0;0;0;0;0;1;1;0
imrxn_2048;0;0;0;0;0;0;0;1;1
imrxn_2049;0;0;0;0;0;0;0;1;1
imrxn_2050;0;0;0;1;1;0;1;1;1
imrxn_2051;1;0;0;1;1;0;0;0;0
imrxn_2052;0;0;0;1;1;0;1;1;1
imrxn_2053;0;0;0;0;0;1;0;0;0
imrxn_2054;0;0;0;0;0;0;0;1;1
imrxn_2055;0;0;0;0;0;0;1;1;1
imrxn_2056;1;0;0;0;0;1;0;0;0
imrxn_2057;0;1;0;1;1;1;1;0;0
imrxn_2058;0;0;0;0;0;1;0;0;0
imrxn_2059;1;1;1;1;1;1;1;1;1
imrxn_2060;0;0;0;0;0;0;1;1;0
imrxn_2061;1;0;0;0;0;0;0;1;1
imrxn_2062;0;0;0;0;0;0;1;1;0
imrxn_2063;0;0;0;1;1;0;1;1;1
imrxn_2064;1;1;1;1;1;1;1;0;0
imrxn_2065;0;1;1;0;0;1;0;0;0
imrxn_2066;0;0;1;1;1;1;1;1;1
imrxn_2067;0;0;0;1;1;0;1;1;0
imrxn_2068;0;0;1;1;1;1;1;1;1
imrxn_2069;0;0;0;0;0;0;0;1;1
imrxn_2070;1;0;0;1;1;0;0;0;0
imrxn_2071;0;0;0;1;1;1;1;1;1
imrxn_2072;1;0;1;0;0;0;0;0;0
imrxn_2073;1;1;1;0;0;0;0;0;0
imrxn_2074;1;0;1;0;0;0;0;0;0
imrxn_2075;0;0;1;0;0;0;0;0;0
imrxn_2076;0;1;0;0;0;1;0;0;0
imrxn_2077;0;1;1;1;1;1;1;1;1
imrxn_2078;1;0;1;0;0;0;0;0;0
imrxn_2079;1;0;0;1;1;0;0;0;0
imrxn_2080;0;0;0;1;1;0;1;1;1
imrxn_2081;1;0;0;1;1;0;1;0;0
imrxn_2082;1;0;0;0;0;0;0;1;1
imrxn_2083;0;0;0;0;0;0;0;1;1
imrxn_2084;1;0;1;0;0;0;0;0;0
imrxn_2085;0;1;1;1;1;1;1;1;1
imrxn_2086;1;0;0;1;1;0;0;0;0
imrxn_2087;0;0;0;0;0;0;0;1;1
imrxn_2088;0;0;1;0;0;0;0;0;0
imrxn_2089;0;0;0;1;1;1;1;1;1
imrxn_2090;0;1;1;0;0;1;0;0;0
imrxn_2091;0;1;1;1;1;1;1;1;1
imrxn_2092;1;0;1;0;0;0;0;0;0
imrxn_2093;0;0;0;0;0;0;0;1;1
imrxn_2094;1;0;0;1;1;0;0;0;0
imrxn_2095;0;0;1;0;0;0;0;0;0
imrxn_2096;0;1;1;1;1;0;0;0;0
imrxn_2097;1;0;0;0;0;0;0;1;1
imrxn_2098;0;0;0;1;0;0;1;0;0
imrxn_2099;0;1;1;1;1;1;1;0;0
imrxn_2100;1;0;0;1;1;1;1;1;1
imrxn_2101;0;0;0;1;1;0;1;1;1
imrxn_2102;0;0;0;0;0;0;0;1;1
imrxn_2103;1;1;1;0;0;1;0;1;0
imrxn_2104;1;0;0;0;0;1;0;0;0
imrxn_2105;0;0;0;1;1;0;1;1;1
imrxn_2106;0;0;0;1;1;0;1;1;1
imrxn_2107;0;1;0;0;0;1;0;0;0
imrxn_2108;1;0;0;1;1;0;1;1;1
imrxn_2109;1;0;0;1;1;0;1;1;1
imrxn_2110;0;0;0;1;1;0;0;0;0
imrxn_2111;1;0;0;1;0;1;1;1;1
imrxn_2112;1;0;0;0;0;0;0;1;1
imrxn_2113;0;0;0;0;0;0;0;1;1
imrxn_2114;0;1;1;1;1;1;1;1;1
imrxn_2115;1;0;1;0;0;0;0;0;0
imrxn_2116;0;0;0;1;1;0;1;1;0
imrxn_2117;0;0;0;0;0;0;1;1;1
imrxn_2118;1;0;0;0;0;0;1;1;1
imrxn_2119;1;1;1;0;0;1;0;0;0
imrxn_2120;0;0;0;1;1;0;1;0;0
imrxn_2121;1;0;0;1;1;1;1;1;1
imrxn_2122;1;0;0;0;0;0;0;1;1
imrxn_2123;0;0;0;0;0;0;0;1;1
imrxn_2124;1;0;0;0;0;0;0;0;1
imrxn_2125;1;0;1;0;0;0;0;0;0
imrxn_2126;1;0;0;1;1;0;1;1;1
imrxn_2127;0;0;1;0;0;0;0;0;0
imrxn_2128;0;0;0;0;0;0;0;1;0
imrxn_2129;0;1;1;0;0;1;0;0;0
imrxn_2130;1;0;0;1;1;0;1;1;1
imrxn_2131;0;0;0;1;1;0;0;0;0
imrxn_2132;1;1;1;0;0;0;0;0;0
imrxn_2133;0;0;1;0;0;0;0;0;0
imrxn_2134;0;0;0;0;0;0;1;1;1
imrxn_2135;1;0;0;0;0;1;0;0;0
imrxn_2136;1;0;0;1;0;0;0;0;0
imrxn_2137;0;0;0;1;1;0;1;1;1
imrxn_2138;1;1;1;0;0;0;0;0;0
imrxn_2139;1;0;1;0;0;0;0;0;0
imrxn_2140;1;0;0;0;0;1;0;0;0
imrxn_2141;1;1;1;0;0;0;0;0;0
imrxn_2142;1;0;0;0;0;0;0;1;1
imrxn_2143;1;1;1;0;0;0;0;0;0
imrxn_2144;0;0;0;1;1;0;0;0;0
imrxn_2145;0;1;1;1;1;1;1;1;1
imrxn_2146;0;0;0;1;1;0;1;1;1
imrxn_2147;1;0;0;1;1;0;1;1;1
imrxn_2148;1;1;1;1;1;1;1;1;1
imrxn_2149;1;0;1;0;0;0;0;0;0
imrxn_2150;1;0;0;0;0;1;0;0;0
imrxn_2151;0;1;1;1;1;1;1;1;1
imrxn_2152;0;1;0;1;1;1;1;1;1
imrxn_2153;0;1;1;1;1;1;1;1;1
imrxn_2154;1;1;0;1;1;1;1;1;1
imrxn_2155;0;1;1;1;1;0;1;1;1
imrxn_2156;0;0;0;0;0;0;0;1;1
imrxn_2157;1;1;1;1;1;1;1;1;1
imrxn_2158;0;0;1;0;0;0;0;0;0
imrxn_2159;0;0;0;1;1;0;1;1;1
imrxn_2160;0;0;0;0;0;0;0;1;1
imrxn_2161;1;0;0;0;0;0;0;1;1
imrxn_2162;0;0;0;1;1;0;1;1;0
imrxn_2163;1;0;1;0;0;1;0;0;0
imrxn_2164;1;0;0;0;0;0;0;1;1
imrxn_2165;1;0;0;0;0;0;0;1;1
imrxn_2166;1;1;1;0;0;1;0;0;0
imrxn_2167;0;0;0;1;1;1;1;1;1
imrxn_2168;0;1;1;0;0;1;1;1;1
imrxn_2169;1;0;0;1;1;0;0;0;0
imrxn_2170;0;0;0;0;0;0;1;1;1
imrxn_2171;0;1;1;1;1;1;1;1;1
imrxn_2172;1;0;1;0;0;0;0;0;0
imrxn_2173;1;0;0;0;0;0;1;1;0
imrxn_2174;0;0;0;1;1;0;0;0;0
imrxn_2175;1;0;0;0;0;1;0;0;0
imrxn_2176;0;1;1;0;0;1;0;0;0
imrxn_2177;0;0;0;0;0;0;0;1;0
imrxn_2178;1;1;0;1;1;1;1;1;1
imrxn_2179;1;0;1;0;0;0;0;0;0
imrxn_2180;1;0;1;0;0;0;0;0;0
imrxn_2181;0;0;0;0;0;1;0;0;0
imrxn_2182;1;0;0;1;1;0;1;1;1
imrxn_2183;0;1;0;1;1;1;1;0;0
imrxn_2184;0;1;1;0;0;1;0;0;0
imrxn_2185;0;0;0;1;1;0;1;1;1
imrxn_2186;1;1;1;0;0;0;0;0;0
imrxn_2187;1;0;0;0;0;1;0;0;0
imrxn_2188;1;0;0;1;0;0;0;0;0
imrxn_2189;0;1;1;1;1;1;1;1;1
imrxn_2190;0;0;0;1;1;0;1;1;1
imrxn_2191;0;0;0;1;1;0;1;1;1
imrxn_2192;1;1;1;0;0;1;0;0;0
imrxn_2193;0;0;0;0;0;0;0;1;1
imrxn_2194;0;0;0;1;1;0;1;1;0
imrxn_2195;0;0;0;0;0;0;0;1;1
imrxn_2196;0;0;0;1;1;0;0;0;0
imrxn_2197;1;0;0;0;0;0;0;1;1
imrxn_2198;0;0;0;0;0;0;1;1;0
imrxn_2199;0;0;0;1;1;0;1;1;1
imrxn_2200;1;0;0;0;0;1;0;0;0
imrxn_2201;1;0;0;0;0;0;1;1;0
imrxn_2202;0;0;0;0;0;0;0;1;1
imrxn_2203;1;0;0;1;0;0;1;0;0
imrxn_2204;1;0;0;1;1;0;0;0;0
imrxn_2205;1;0;0;0;0;0;0;1;1
imrxn_2206;0;0;0;0;0;1;0;0;0
imrxn_2207;0;0;0;1;0;0;1;1;1
imrxn_2208;1;1;1;0;0;1;0;0;0
imrxn_2209;0;1;1;1;1;0;0;0;0
